name,lat,lon,transport,accessibility,picture
Aqua Berlin, 52.446071,13.580577,,good,
Funkhaus Berlin, 52.479979, 13.498485,,moderate,
Spree Curry Hangelsberg, 52.39401, 13.933529,,good,
